ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME,ESPACO,ENDERECO,TELEFONE,BAIRRO,CEP,CT_TIPO,CT_DEPADM,INAUGURACAO,ASSENTOS
1318,-46614976,-23497035,355030870000083,3550308005064,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 2,Teatro Jardim São  Paulo,,"Av Leôncio de Magalhães, 382",6959-2952,Jardim São Paulo,,9,4,,370
1319,-46611893,-23495541,355030870000126,3550308005064,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 2,Saint Patrick's Pub,,"Av Luís Dumont Villares, 655",6977-9226,Vila Guilherme,,9,4,,700
1320,-46610983,-23494843,355030886000054,3550308005032,88,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,Consulado da Cerveja,,"R Eduardo Espínola Filho, 70",6973-3256,Vila Guilherme,,9,4,,1600
1321,-46616346,-23464144,355030882000126,3550308005131,84,TUCURUVI,5,SANTANA-TUCURUVI,Norte,Norte 2,Cervejaria Polo Norte,,"Av Nova Cantareira, 4.077",6991-7799,Santana,,9,4,,1200
1322,-46610726,-23492639,355030886000054,3550308005032,88,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,Bar Taberna Sherwood,,"Av Luís Dumont Villares,  1.012",6973-2925,Jardim São Paulo,,9,4,,300
1323,-46565042,-23581771,355030893000151,3550308005042,95,VILA PRUDENTE,29,VILA PRUDENTE,Leste,Leste 1,Stones Music Bar,,"Av Prof. Luís Ignácio de Anhaia Melo, 2935",6107-2577,Vila Prudente,,9,4,,850
1324,-46584784,-23544695,355030808000021,3550308005016,08,BELEM,25,MOOCA,Leste,Leste 1,SESC Belenzinho,Bar,Av Álvaro Ramos 915,6608-8143,Belem,,9,4,,140
1325,-46585481,-23535678,355030808000031,3550308005016,08,BELEM,25,MOOCA,Leste,Leste 1,Fofinho Rock Bar,,"Av Celso Garcia, 2728",8116-8482,Belenzinho,,9,4,,1200
1326,-46571775,-23547262,355030880000069,3550308005038,82,TATUAPE,25,MOOCA,Leste,Leste 1,Black Steel Bar,,"R Coelho Lisboa, 398",2293-4960,Tatuapé,,9,4,,600
1327,-46571317,-23549893,355030880000094,3550308005038,82,TATUAPE,25,MOOCA,Leste,Leste 1,Talking Jazz Music Club,,"R Coelho Lisboa, 686",6673-3159,Tatuapé,,9,4,,100
1328,-46568628,-23538851,355030880000020,3550308005038,82,TATUAPE,25,MOOCA,Leste,Leste 1,Maavah Bar,,"Rau Airi,16",6192-8433,Tatuapé,,9,4,,500
1329,-46559069,-23558446,355030885000099,3550308005040,87,VILA FORMOSA,26,ARICANDUVA,Leste,Leste 1,Shopping Analia Franco,,"Av Rejente Feijo , 1.739",0800-17906,Vila Formosa,,9,4,,1600
1330,-46557025,-23529939,355030880000134,3550308005036,82,TATUAPE,25,MOOCA,Leste,Leste 1,Led Slay,,"Av Celso Garcia, 5765",9972-5033,Tatuapé,,9,4,,1500
1331,-46553559,-23538386,355030820000100,3550308005077,20,CARRAO,26,ARICANDUVA,Leste,Leste 1,Lua Nova - Recanto dos Cantadores,,"R Conselheiro Carrão, 451",3253-1609,Bela Vista,,9,4,,100
1332,-46489417,-23584048,355030873000136,3550308005208,75,SAO MATEUS,30,SAO MATEUS,Leste,Leste 2,Expresso Brasil,,"Av Aricanduva, 11.500",6724-2000,Jardim Aricanduva,,9,4,,5000
1333,-46516070,-23517004,355030859000010,3550308005145,60,PENHA,21,PENHA,Leste,Leste 1,O Canal,,"R dona Cecília de Santana, 481",6682-3888,Penha,,9,4,,6000
1334,-46641282,-23634718,355030838000185,3550308005308,37,JABAQUARA,15,JABAQUARA,Sul,Sul 1,Escola Municipal de Iniciação Artística,,"R Volkswagem, s/n - Casa 3",2578-7552,Jabaquara,04344-02,10,1,,
1335,-46638944,-23570165,355030849000104,3550308005008,49,LIBERDADE,9,SE,Centro,Centro,Escola Municipal de Música,,"R Vergueiro, 961",3209-6580/,Paraíso,01504-00,10,1,,
1336,-46645700,-23553129,355030807000069,3550308005011,07,BELA VISTA,9,SE,Centro,Centro,Bale da Cidade de São Paulo,,"R João Passalacqua, 66",3241-3883/,Bela Vista,01302-00,10,1,,
1337,-46639214,-23550162,355030866000044,3550308005002,67,REPUBLICA,9,SE,Centro,Centro,Orquestra Experimental de Repertório,,"R Santo Amaro, 46",3101-5831,Bela Vista,01315-00,10,1,,
1338,-46638008,-23545329,355030866000003,3550308005003,67,REPUBLICA,9,SE,Centro,Centro,Escola Municipal de Bailado,,"R Formosa, 215 - Centro",3241-5336/,Centro,01049-00,10,1,,
1339,-46638215,-23544821,355030866000003,3550308005003,67,REPUBLICA,9,SE,Centro,Centro,Teatro Municipal,,"Pc Ramos de Azevedo, s/n",3223-3022/,Centro,,11,1,,1585
1340,-46638595,-23542981,355030866000002,3550308005003,67,REPUBLICA,9,SE,Centro,Centro,Galeria Olido,Sala de Espetaculos Olido,"Av São João, 473 - Primeiro Piso",3334-0001,Centro,,11,1,,300
1341,-46638595,-23542981,355030866000002,3550308005003,67,REPUBLICA,9,SE,Centro,Centro,Galeria Olido,Sala de Espetaculos Paissandu,"Av São João, 473 - Segundo Andar",3334-0001,Centro,,11,1,,140
1342,-46665078,-23527091,355030806000003,3550308005029,06,BARRA FUNDA,8,LAPA,Oeste,Oeste,Memorial da America Latina,Auditorio Simon Bolivar,"Av  Auro Soares de Moura Andrade, 664",3823-4600,Barra Funda,,11,2,,1609
1343,-46650484,-23545596,355030826000057,3550308005012,26,CONSOLACAO,9,SE,Centro,Centro,Centro Universitario Maria Antonia,,"R Maria Antônia, 294  - 2 andar",3237-1815,Vila Buarque,,11,2,,
1344,-46653355,-23531961,355030869000008,3550308005027,70,SANTA CECILIA,9,SE,Centro,Centro,Teatro São  Pedro,,"R Barra Funda, 171",3667-0499,Barra Funda,,11,2,,636
1345,-46640047,-23532980,355030869000100,3550308005014,70,SANTA CECILIA,9,SE,Centro,Centro,Estacao Julio Prestes,Sala Estacao das Artes,"Pc Júlio Prestes, s/n",3361-2379/,Bom Retiro,,11,2,,550
1346,-46640039,-23532983,355030869000100,3550308005014,70,SANTA CECILIA,9,SE,Centro,Centro,Estação Julio Prestes,Sala Sao  Paulo,"Pc Júlio Prestes, s/n",3361-2379/,Bom Retiro,,11,2,,1501
